 8638 xpcproxy	Created        /private/var/tmp/cy-wS22sw.dylib	
 8261 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjCBA899951	
 8261 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjCBA899951	
 8261 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
 8261 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mj5C4E90960	
 8261 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mj5C4E90960	
 8261 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mj5C4E90960	
 8261 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
 8261 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
 8261 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjDD449597D	
 8261 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjDD449597D	
 8261 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjDD449597D	
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 8405 voiced	Created dir    /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/express.psa	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/express.psa	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/KeywordIndex.plist	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/KeywordIndex.plist	
 8405 voiced	Chowned        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/Manifest.sqlitedb	
 8405 voiced	Chowned        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/Manifest.sqlitedb	
 8405 voiced	Chowned        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/Manifest.sqlitedb	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb-journal	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Manifest.sqlitedb	
 8405 voiced	Created        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Info.plist	
 8405 voiced	Modified       /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa/Info.plist	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/Info.plist	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/KeywordIndex.plist	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/Manifest.sqlitedb	
 8405 voiced	Deleted        /private/var/mobile/Library/Caches/VoiceServices/Express.vscache/express.psa	
 8405 voiced	Renamed        /private/var/mobile/Library/Caches/VoiceServices/temp.vscache.0jbGa	/private/var/mobile/Library/Caches/VoiceServices/Express.vscache 
  552 itunescloudd	Modified       /private/var/mobile/Media/iTunes_Control/iTunes/MediaLibrary.sqlitedb-shm	
 8650 xpcproxy	Created        /private/var/tmp/cy-otIyvb.dylib	
 8650 xpcproxy	Deleted        /private/var/tmp/cy-otIyvb.dylib	
 8650 xpcproxy	Modified       /private/var/tmp/cy-otIyvb.dylib	
 8650 xpcproxy	Created        /private/var/tmp/cy-zJXio8.dylib	
 8650 xpcproxy	Deleted        /private/var/tmp/cy-zJXio8.dylib	
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
4 0
    0 kernel_task	Modified       /private/var/mobile/Media/iTunes_Control/iTunes/MediaLibrary.sqlitedb-shm	
 8650 xpcproxy	Modified       /private/var/tmp/cy-zJXio8.dylib	
  308 cfprefsd	Created        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Modified       /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	
  308 cfprefsd	Renamed        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.XaKYDKC	/private/var/root/Library/Preferences/com.apple.xpc.activity2.plist 
  308 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.TRpunLS	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.TRpunLS	
  308 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.TRpunLS	
  308 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.TRpunLS	/private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist 
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	
  308 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist.kKEqLx5	/private/var/mobile/Library/Preferences/com.apple.voiceservices.logging.plist 
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  308 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  308 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.O5md2Oy	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.O5md2Oy	
  308 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.assistant.plist.O5md2Oy	
  308 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.O5md2Oy	/private/var/mobile/Library/Preferences/com.apple.assistant.plist 
 8261 itunesstored	Changed stat   /private/var/mobile/Library/Caches/com.apple.iTunesStore/network-constraints.plist	
 8261 itunesstored	Modified       /private/var/mobile/Library/Caches/com.apple.iTunesStore/network-constraints.plist	
 8261 itunesstored	Changed stat   /private/var/mobile/Library/Caches/com.apple.itunesstored/url-resolution.plist	
 8261 itunesstored	Modified       /private/var/mobile/Library/Caches/com.apple.itunesstored/url-resolution.plist	
 8653 CFNetworkAgent	Created        /private/var/tmp/cy-f9zMHG.dylib	
 8653 CFNetworkAgent	Deleted        /private/var/tmp/cy-f9zMHG.dylib	
 8653 CFNetworkAgent	Modified       /private/var/tmp/cy-f9zMHG.dylib	
 8653 CFNetworkAgent	Created        /private/var/tmp/cy-N1o7C6.dylib	
 8653 CFNetworkAgent	Deleted        /private/var/tmp/cy-N1o7C6.dylib	
 8653 CFNetworkAgent	Modified       /private/var/tmp/cy-N1o7C6.dylib	
 8656 xpcproxy	Created        /private/var/tmp/cy-lzP9x8.dylib	
 8656 xpcproxy	Deleted        /private/var/tmp/cy-lzP9x8.dylib	
 8656 xpcproxy	Modified       /private/var/tmp/cy-lzP9x8.dylib	
 8656 xpcproxy	Created        /private/var/tmp/cy-JB2zrQ.dylib	
 8656 xpcproxy	Deleted        /private/var/tmp/cy-JB2zrQ.dylib	
 8656 xpcproxy	Modified       /private/var/tmp/cy-JB2zrQ.dylib	
 8261 itunesstored	Created        /private/var/mobile/Library/Caches/com.apple.itunesstored/MediaContentTaste/.dat.nosync2045.TEURI7	
 8261 itunesstored	Modified       /private/var/mobile/Library/Caches/com.apple.itunesstored/MediaContentTaste/.dat.nosync2045.TEURI7	
 8261 itunesstored	Renamed        /private/var/mobile/Library/Caches/com.apple.itunesstored/MediaContentTaste/.dat.nosync2045.TEURI7	/private/var/mobile/Library/Caches/com.apple.itunesstored/MediaContentTaste/SyncResponse-8370865779 
 8261 itunesstored	Chowned        /private/var/mobile/Library/Caches/com.apple.itunesstored/MediaContentTaste/SyncResponse-8370865779	
 8656 mstreamd	Changed stat   /private/var/mobile/Library/MediaStream/albumshare/Daemon.sqlite-shm	
  225 syslogd	Created        /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/WatchConnectivity/WatchConnectivity.20181022T123355+03.log	
  225 syslogd	Chowned        /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/WatchConnectivity/WatchConnectivity.20181022T123355+03.log	
  225 syslogd	Deleted        /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/WatchConnectivity/WatchConnectivity.log	
  225 syslogd	Created        /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/WatchConnectivity/WatchConnectivity.log	
  521 nsurlstoraged	Created        /private/var/tmp/etilqs_1EBXDusOD6gNtBe	
  521 nsurlstoraged	Deleted        /private/var/tmp/etilqs_1EBXDusOD6gNtBe	
  521 nsurlstoraged	Deleted        /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  521 nsurlstoraged	Created        /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  521 nsurlstoraged	Modified       /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  521 nsurlstoraged	Modified       /private/var/tmp/etilqs_1EBXDusOD6gNtBe	
 8659 xpcproxy	Created        /private/var/tmp/cy-21IJRK.dylib	
 8659 xpcproxy	Deleted        /private/var/tmp/cy-21IJRK.dylib	
 8659 xpcproxy	Modified       /private/var/tmp/cy-21IJRK.dylib	
 8659 xpcproxy	Created        /private/var/tmp/cy-ecuTQ6.dylib	
 8659 xpcproxy	Deleted        /private/var/tmp/cy-ecuTQ6.dylib	
 8659 xpcproxy	Modified       /private/var/tmp/cy-ecuTQ6.dylib	
 8647 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.ips	
 8647 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.ips	
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.ips	
 8647 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.ips	/private/var/mobile/Library/Logs/CrashReporter/wcd-2018-10-22-123356.ips 
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 8659 wcd	Created        /private/var/tmp/cy-u4JpZD.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-u4JpZD.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-u4JpZD.dylib	
 8659 wcd	Created        /private/var/tmp/cy-DzlUIu.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-DzlUIu.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-DzlUIu.dylib	
 8659 wcd	Created        /private/var/tmp/cy-oQ2dpk.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-oQ2dpk.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-oQ2dpk.dylib	
 8659 wcd	Created        /private/var/tmp/cy-0NmP2L.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-0NmP2L.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-0NmP2L.dylib	
 8659 wcd	Created        /private/var/tmp/cy-m5zklj.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-m5zklj.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-m5zklj.dylib	
 8659 wcd	Created        /private/var/tmp/cy-i60dwd.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-i60dwd.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-i60dwd.dylib	
 8659 wcd	Created        /private/var/tmp/cy-RhHNjF.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-RhHNjF.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-RhHNjF.dylib	
 8659 wcd	Created        /private/var/tmp/cy-EChUnY.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-EChUnY.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-EChUnY.dylib	
 8659 wcd	Created        /private/var/tmp/cy-9r2IYw.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-9r2IYw.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-9r2IYw.dylib	
 8659 wcd	Created        /private/var/tmp/cy-p3Mk0N.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-p3Mk0N.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-p3Mk0N.dylib	
 8659 wcd	Created        /private/var/tmp/cy-Yauq8z.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-Yauq8z.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-Yauq8z.dylib	
 8659 wcd	Created        /private/var/tmp/cy-Lb8olo.dylib	
 8659 wcd	Deleted        /private/var/tmp/cy-Lb8olo.dylib	
 8659 wcd	Modified       /private/var/tmp/cy-Lb8olo.dylib	
 8662 xpcproxy	Created        /private/var/tmp/cy-rOxrhC.dylib	
 8662 xpcproxy	Deleted        /private/var/tmp/cy-rOxrhC.dylib	
 8662 xpcproxy	Modified       /private/var/tmp/cy-rOxrhC.dylib	
 8662 xpcproxy	Created        /private/var/tmp/cy-iJMpfH.dylib	
 8662 xpcproxy	Deleted        /private/var/tmp/cy-iJMpfH.dylib	
 8662 xpcproxy	Modified       /private/var/tmp/cy-iJMpfH.dylib	
 8647 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.914.ips	
 8647 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.914.ips	
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.914.ips	
 8647 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-10-22-123356.914.ips	/private/var/mobile/Library/Logs/CrashReporter/wcd-2018-10-22-123356.914.ips 
 8647 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 8662 wcd	Created        /private/var/tmp/cy-Y0e8GO.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-Y0e8GO.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-Y0e8GO.dylib	
 8662 wcd	Created        /private/var/tmp/cy-vfl8IY.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-vfl8IY.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-vfl8IY.dylib	
 8662 wcd	Created        /private/var/tmp/cy-RMMx1x.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-RMMx1x.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-RMMx1x.dylib	
 8662 wcd	Created        /private/var/tmp/cy-M4uU8L.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-M4uU8L.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-M4uU8L.dylib	
 8662 wcd	Created        /private/var/tmp/cy-mZkiAX.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-mZkiAX.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-mZkiAX.dylib	
 8662 wcd	Created        /private/var/tmp/cy-AaZV7W.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-AaZV7W.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-AaZV7W.dylib	
 8662 wcd	Created        /private/var/tmp/cy-9MXmas.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-9MXmas.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-9MXmas.dylib	
 8662 wcd	Created        /private/var/tmp/cy-ym0FGF.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-ym0FGF.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-ym0FGF.dylib	
 8662 wcd	Created        /private/var/tmp/cy-ro4mrl.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-ro4mrl.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-ro4mrl.dylib	
 8662 wcd	Created        /private/var/tmp/cy-zUp2ct.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-zUp2ct.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-zUp2ct.dylib	
 8662 wcd	Created        /private/var/tmp/cy-16WXWH.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-16WXWH.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-16WXWH.dylib	
 8662 wcd	Created        /private/var/tmp/cy-kxZDIs.dylib	
 8662 wcd	Deleted        /private/var/tmp/cy-kxZDIs.dylib	
 8662 wcd	Modified       /private/var/tmp/cy-kxZDIs.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-plUsUm.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-plUsUm.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-plUsUm.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-eyMVx1.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-eyMVx1.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-eyMVx1.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-V5mVyt.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-V5mVyt.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-V5mVyt.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-7JVdKU.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-7JVdKU.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-7JVdKU.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-MetHu0.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-MetHu0.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-MetHu0.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-GK4bH6.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-GK4bH6.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-GK4bH6.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-f5qji0.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-f5qji0.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-f5qji0.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-QsED7f.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-QsED7f.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-QsED7f.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-DdQWGY.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-DdQWGY.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-DdQWGY.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-oMRWjt.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-oMRWjt.dylib	
 8665 xpcproxy	Modified       /private/var/tmp/cy-oMRWjt.dylib	
 8665 xpcproxy	Created        /private/var/tmp/cy-VXK7BU.dylib	
 8665 xpcproxy	Deleted        /private/var/tmp/cy-VXK7BU.dylib	
